index,innumcluster,overlaps,stretches,position,friction,middleCharge,otherCharge,otherparam,AnzahlLinks
0,0,0.0,0.0,0.0,0.1,-30,-30,14,644
1,0,0.0,0.0,0.0,0.1,-30,-30,15,644
8,0,0.0,0.0,0.0,0.1,-30,-26,14,644
9,0,0.0,0.0,0.0,0.1,-30,-26,15,644
16,0,0.0,0.0,0.0,0.1,-30,-22,14,644
17,0,0.0,0.0,0.0,0.1,-30,-22,15,644
24,0,0.0,0.0,0.0,0.1,-30,-18,14,644
25,0,0.0,0.0,0.0,0.1,-30,-18,15,644
32,0,0.0,0.0,0.0,0.1,-30,-14,14,644
33,0,0.0,0.0,0.0,0.1,-30,-14,15,644
40,0,0.0,0.0,0.0,0.1,-30,-10,14,644
41,0,0.0,0.0,0.0,0.1,-30,-10,15,644
48,0,0.0,0.0,0.0,0.1,-30,-6,14,644
49,0,0.0,0.0,0.0,0.1,-30,-6,15,644
56,0,0.0,0.0,0.0,0.1,-30,-2,14,644
57,0,0.0,0.0,0.0,0.1,-30,-2,15,644
64,0,0.0,0.0,0.0,0.1,-26,-30,14,644
65,0,0.0,0.0,0.0,0.1,-26,-30,15,644
72,0,0.0,0.0,0.0,0.1,-26,-26,14,644
73,0,0.0,0.0,0.0,0.1,-26,-26,15,644
80,0,0.0,0.0,0.0,0.1,-26,-22,14,644
81,0,0.0,0.0,0.0,0.1,-26,-22,15,644
88,0,0.0,0.0,0.0,0.1,-26,-18,14,644
89,0,0.0,0.0,0.0,0.1,-26,-18,15,644
96,0,0.0,0.0,0.0,0.1,-26,-14,14,644
97,0,0.0,0.0,0.0,0.1,-26,-14,15,644
104,0,0.0,0.0,0.0,0.1,-26,-10,14,644
105,0,0.0,0.0,0.0,0.1,-26,-10,15,644
112,0,0.0,0.0,0.0,0.1,-26,-6,14,644
113,0,0.0,0.0,0.0,0.1,-26,-6,15,644
120,0,0.0,0.0,0.0,0.1,-26,-2,14,644
121,0,0.0,0.0,0.0,0.1,-26,-2,15,644
128,0,0.0,0.0,0.0,0.1,-22,-30,14,644
129,0,0.0,0.0,0.0,0.1,-22,-30,15,644
136,0,0.0,0.0,0.0,0.1,-22,-26,14,644
137,0,0.0,0.0,0.0,0.1,-22,-26,15,644
144,0,0.0,0.0,0.0,0.1,-22,-22,14,644
145,0,0.0,0.0,0.0,0.1,-22,-22,15,644
152,0,0.0,0.0,0.0,0.1,-22,-18,14,644
153,0,0.0,0.0,0.0,0.1,-22,-18,15,644
160,0,0.0,0.0,0.0,0.1,-22,-14,14,644
161,0,0.0,0.0,0.0,0.1,-22,-14,15,644
168,0,0.0,0.0,0.0,0.1,-22,-10,14,644
169,0,0.0,0.0,0.0,0.1,-22,-10,15,644
176,0,0.0,0.0,0.0,0.1,-22,-6,14,644
177,0,0.0,0.0,0.0,0.1,-22,-6,15,644
184,0,0.0,0.0,0.0,0.1,-22,-2,14,644
185,0,0.0,0.0,0.0,0.1,-22,-2,15,644
192,0,0.0,0.0,0.0,0.1,-18,-30,14,644
193,0,0.0,0.0,0.0,0.1,-18,-30,15,644
200,0,0.0,0.0,0.0,0.1,-18,-26,14,644
201,0,0.0,0.0,0.0,0.1,-18,-26,15,644
208,0,0.0,0.0,0.0,0.1,-18,-22,14,644
209,0,0.0,0.0,0.0,0.1,-18,-22,15,644
216,0,0.0,0.0,0.0,0.1,-18,-18,14,644
217,0,0.0,0.0,0.0,0.1,-18,-18,15,644
224,0,0.0,0.0,0.0,0.1,-18,-14,14,644
225,0,0.0,0.0,0.0,0.1,-18,-14,15,644
232,0,0.0,0.0,0.0,0.1,-18,-10,14,644
233,0,0.0,0.0,0.0,0.1,-18,-10,15,644
240,0,0.0,0.0,0.0,0.1,-18,-6,14,644
241,0,0.0,0.0,0.0,0.1,-18,-6,15,644
248,0,0.0,0.0,0.0,0.1,-18,-2,14,644
249,0,0.0,0.0,0.0,0.1,-18,-2,15,644
256,0,0.0,0.0,0.0,0.1,-14,-30,14,644
257,0,0.0,0.0,0.0,0.1,-14,-30,15,644
264,0,0.0,0.0,0.0,0.1,-14,-26,14,644
265,0,0.0,0.0,0.0,0.1,-14,-26,15,644
272,0,0.0,0.0,0.0,0.1,-14,-22,14,644
273,0,0.0,0.0,0.0,0.1,-14,-22,15,644
280,0,0.0,0.0,0.0,0.1,-14,-18,14,644
281,0,0.0,0.0,0.0,0.1,-14,-18,15,644
288,0,0.0,0.0,0.0,0.1,-14,-14,14,644
289,0,0.0,0.0,0.0,0.1,-14,-14,15,644
296,0,0.0,0.0,0.0,0.1,-14,-10,14,644
297,0,0.0,0.0,0.0,0.1,-14,-10,15,644
304,0,0.0,0.0,0.0,0.1,-14,-6,14,644
305,0,0.0,0.0,0.0,0.1,-14,-6,15,644
312,0,0.0,0.0,0.0,0.1,-14,-2,14,644
313,0,0.0,0.0,0.0,0.1,-14,-2,15,644
320,0,0.0,0.0,0.0,0.1,-10,-30,14,644
321,0,0.0,0.0,0.0,0.1,-10,-30,15,644
