index,innumcluster,overlaps,stretches,position,friction,middleCharge,otherCharge,otherparam,otherpara,AnzahlLinks
0,0,0.0,0.0,0.0,0.2,-30,-30,15,100,644
1,0,0.0,0.0,0.0,0.2,-30,-30,15,104,644
2,0,0.0,0.0,0.0,0.2,-30,-30,15,108,644
3,0,0.0,0.0,0.0,0.2,-30,-30,15,112,644
4,0,0.0,0.0,0.0,0.2,-30,-30,15,116,644
5,0,0.0,0.0,0.0,0.2,-30,-30,15,120,644
36,0,0.0,0.0,0.0,0.2,-30,-24,15,100,644
37,0,0.0,0.0,0.0,0.2,-30,-24,15,104,644
38,0,0.0,0.0,0.0,0.2,-30,-24,15,108,644
39,0,0.0,0.0,0.0,0.2,-30,-24,15,112,644
40,0,0.0,0.0,0.0,0.2,-30,-24,15,116,644
41,0,0.0,0.0,0.0,0.2,-30,-24,15,120,644
72,0,0.0,0.0,0.0,0.2,-30,-18,15,100,644
73,0,0.0,0.0,0.0,0.2,-30,-18,15,104,644
74,0,0.0,0.0,0.0,0.2,-30,-18,15,108,644
75,0,0.0,0.0,0.0,0.2,-30,-18,15,112,644
76,0,0.0,0.0,0.0,0.2,-30,-18,15,116,644
77,0,0.0,0.0,0.0,0.2,-30,-18,15,120,644
108,0,0.0,0.0,0.0,0.2,-30,-12,15,100,644
109,0,0.0,0.0,0.0,0.2,-30,-12,15,104,644
110,0,0.0,0.0,0.0,0.2,-30,-12,15,108,644
111,0,0.0,0.0,0.0,0.2,-30,-12,15,112,644
112,0,0.0,0.0,0.0,0.2,-30,-12,15,116,644
113,0,0.0,0.0,0.0,0.2,-30,-12,15,120,644
144,0,0.0,0.0,0.0,0.2,-30,-6,15,100,644
145,0,0.0,0.0,0.0,0.2,-30,-6,15,104,644
146,0,0.0,0.0,0.0,0.2,-30,-6,15,108,644
147,0,0.0,0.0,0.0,0.2,-30,-6,15,112,644
148,0,0.0,0.0,0.0,0.2,-30,-6,15,116,644
149,0,0.0,0.0,0.0,0.2,-30,-6,15,120,644
180,0,0.0,0.0,0.0,0.2,-30,0,15,100,644
181,0,0.0,0.0,0.0,0.2,-30,0,15,104,644
182,0,0.0,0.0,0.0,0.2,-30,0,15,108,644
183,0,0.0,0.0,0.0,0.2,-30,0,15,112,644
184,0,0.0,0.0,0.0,0.2,-30,0,15,116,644
185,0,0.0,0.0,0.0,0.2,-30,0,15,120,644
216,0,0.0,0.0,0.0,0.2,-24,-30,15,100,644
217,0,0.0,0.0,0.0,0.2,-24,-30,15,104,644
218,0,0.0,0.0,0.0,0.2,-24,-30,15,108,644
219,0,0.0,0.0,0.0,0.2,-24,-30,15,112,644
220,0,0.0,0.0,0.0,0.2,-24,-30,15,116,644
221,0,0.0,0.0,0.0,0.2,-24,-30,15,120,644
252,0,0.0,0.0,0.0,0.2,-24,-24,15,100,644
253,0,0.0,0.0,0.0,0.2,-24,-24,15,104,644
254,0,0.0,0.0,0.0,0.2,-24,-24,15,108,644
255,0,0.0,0.0,0.0,0.2,-24,-24,15,112,644
256,0,0.0,0.0,0.0,0.2,-24,-24,15,116,644
257,0,0.0,0.0,0.0,0.2,-24,-24,15,120,644
288,0,0.0,0.0,0.0,0.2,-24,-18,15,100,644
289,0,0.0,0.0,0.0,0.2,-24,-18,15,104,644
290,0,0.0,0.0,0.0,0.2,-24,-18,15,108,644
291,0,0.0,0.0,0.0,0.2,-24,-18,15,112,644
292,0,0.0,0.0,0.0,0.2,-24,-18,15,116,644
293,0,0.0,0.0,0.0,0.2,-24,-18,15,120,644
324,0,0.0,0.0,0.0,0.2,-24,-12,15,100,644
325,0,0.0,0.0,0.0,0.2,-24,-12,15,104,644
326,0,0.0,0.0,0.0,0.2,-24,-12,15,108,644
327,0,0.0,0.0,0.0,0.2,-24,-12,15,112,644
328,0,0.0,0.0,0.0,0.2,-24,-12,15,116,644
329,0,0.0,0.0,0.0,0.2,-24,-12,15,120,644
360,0,0.0,0.0,0.0,0.2,-24,-6,15,100,644
361,0,0.0,0.0,0.0,0.2,-24,-6,15,104,644
362,0,0.0,0.0,0.0,0.2,-24,-6,15,108,644
363,0,0.0,0.0,0.0,0.2,-24,-6,15,112,644
364,0,0.0,0.0,0.0,0.2,-24,-6,15,116,644
365,0,0.0,0.0,0.0,0.2,-24,-6,15,120,644
396,0,0.0,0.0,0.0,0.2,-24,0,15,100,644
397,0,0.0,0.0,0.0,0.2,-24,0,15,104,644
398,0,0.0,0.0,0.0,0.2,-24,0,15,108,644
399,0,0.0,0.0,0.0,0.2,-24,0,15,112,644
400,0,0.0,0.0,0.0,0.2,-24,0,15,116,644
401,0,0.0,0.0,0.0,0.2,-24,0,15,120,644
432,0,0.0,0.0,0.0,0.2,-18,-30,15,100,644
433,0,0.0,0.0,0.0,0.2,-18,-30,15,104,644
434,0,0.0,0.0,0.0,0.2,-18,-30,15,108,644
435,0,0.0,0.0,0.0,0.2,-18,-30,15,112,644
436,0,0.0,0.0,0.0,0.2,-18,-30,15,116,644
437,0,0.0,0.0,0.0,0.2,-18,-30,15,120,644
468,0,0.0,0.0,0.0,0.2,-18,-24,15,100,644
469,0,0.0,0.0,0.0,0.2,-18,-24,15,104,644
470,0,0.0,0.0,0.0,0.2,-18,-24,15,108,644
471,0,0.0,0.0,0.0,0.2,-18,-24,15,112,644
472,0,0.0,0.0,0.0,0.2,-18,-24,15,116,644
473,0,0.0,0.0,0.0,0.2,-18,-24,15,120,644
504,0,0.0,0.0,0.0,0.2,-18,-18,15,100,644
505,0,0.0,0.0,0.0,0.2,-18,-18,15,104,644
506,0,0.0,0.0,0.0,0.2,-18,-18,15,108,644
507,0,0.0,0.0,0.0,0.2,-18,-18,15,112,644
508,0,0.0,0.0,0.0,0.2,-18,-18,15,116,644
509,0,0.0,0.0,0.0,0.2,-18,-18,15,120,644
540,0,0.0,0.0,0.0,0.2,-18,-12,15,100,644
541,0,0.0,0.0,0.0,0.2,-18,-12,15,104,644
542,0,0.0,0.0,0.0,0.2,-18,-12,15,108,644
543,0,0.0,0.0,0.0,0.2,-18,-12,15,112,644
544,0,0.0,0.0,0.0,0.2,-18,-12,15,116,644
545,0,0.0,0.0,0.0,0.2,-18,-12,15,120,644
576,0,0.0,0.0,0.0,0.2,-18,-6,15,100,644
577,0,0.0,0.0,0.0,0.2,-18,-6,15,104,644
578,0,0.0,0.0,0.0,0.2,-18,-6,15,108,644
579,0,0.0,0.0,0.0,0.2,-18,-6,15,112,644
580,0,0.0,0.0,0.0,0.2,-18,-6,15,116,644
581,0,0.0,0.0,0.0,0.2,-18,-6,15,120,644
612,0,0.0,0.0,0.0,0.2,-18,0,15,100,644
613,0,0.0,0.0,0.0,0.2,-18,0,15,104,644
614,0,0.0,0.0,0.0,0.2,-18,0,15,108,644
615,0,0.0,0.0,0.0,0.2,-18,0,15,112,644
616,0,0.0,0.0,0.0,0.2,-18,0,15,116,644
617,0,0.0,0.0,0.0,0.2,-18,0,15,120,644
648,0,0.0,0.0,0.0,0.2,-12,-30,15,100,644
649,0,0.0,0.0,0.0,0.2,-12,-30,15,104,644
650,0,0.0,0.0,0.0,0.2,-12,-30,15,108,644
651,0,0.0,0.0,0.0,0.2,-12,-30,15,112,644
652,0,0.0,0.0,0.0,0.2,-12,-30,15,116,644
653,0,0.0,0.0,0.0,0.2,-12,-30,15,120,644
684,0,0.0,0.0,0.0,0.2,-12,-24,15,100,644
685,0,0.0,0.0,0.0,0.2,-12,-24,15,104,644
686,0,0.0,0.0,0.0,0.2,-12,-24,15,108,644
687,0,0.0,0.0,0.0,0.2,-12,-24,15,112,644
688,0,0.0,0.0,0.0,0.2,-12,-24,15,116,644
689,0,0.0,0.0,0.0,0.2,-12,-24,15,120,644
720,0,0.0,0.0,0.0,0.2,-12,-18,15,100,644
721,0,0.0,0.0,0.0,0.2,-12,-18,15,104,644
722,0,0.0,0.0,0.0,0.2,-12,-18,15,108,644
723,0,0.0,0.0,0.0,0.2,-12,-18,15,112,644
724,0,0.0,0.0,0.0,0.2,-12,-18,15,116,644
725,0,0.0,0.0,0.0,0.2,-12,-18,15,120,644
756,0,0.0,0.0,0.0,0.2,-12,-12,15,100,644
757,0,0.0,0.0,0.0,0.2,-12,-12,15,104,644
758,0,0.0,0.0,0.0,0.2,-12,-12,15,108,644
759,0,0.0,0.0,0.0,0.2,-12,-12,15,112,644
760,0,0.0,0.0,0.0,0.2,-12,-12,15,116,644
761,0,0.0,0.0,0.0,0.2,-12,-12,15,120,644
792,0,0.0,0.0,0.0,0.2,-12,-6,15,100,644
793,0,0.0,0.0,0.0,0.2,-12,-6,15,104,644
794,0,0.0,0.0,0.0,0.2,-12,-6,15,108,644
795,0,0.0,0.0,0.0,0.2,-12,-6,15,112,644
796,0,0.0,0.0,0.0,0.2,-12,-6,15,116,644
797,0,0.0,0.0,0.0,0.2,-12,-6,15,120,644
828,0,0.0,0.0,0.0,0.2,-12,0,15,100,644
829,0,0.0,0.0,0.0,0.2,-12,0,15,104,644
830,0,0.0,0.0,0.0,0.2,-12,0,15,108,644
831,0,0.0,0.0,0.0,0.2,-12,0,15,112,644
832,0,0.0,0.0,0.0,0.2,-12,0,15,116,644
833,0,0.0,0.0,0.0,0.2,-12,0,15,120,644
864,0,0.0,0.0,0.0,0.2,-6,-30,15,100,644
865,0,0.0,0.0,0.0,0.2,-6,-30,15,104,644
866,0,0.0,0.0,0.0,0.2,-6,-30,15,108,644
867,0,0.0,0.0,0.0,0.2,-6,-30,15,112,644
868,0,0.0,0.0,0.0,0.2,-6,-30,15,116,644
869,0,0.0,0.0,0.0,0.2,-6,-30,15,120,644
900,0,0.0,0.0,0.0,0.2,-6,-24,15,100,644
901,0,0.0,0.0,0.0,0.2,-6,-24,15,104,644
902,0,0.0,0.0,0.0,0.2,-6,-24,15,108,644
903,0,0.0,0.0,0.0,0.2,-6,-24,15,112,644
904,0,0.0,0.0,0.0,0.2,-6,-24,15,116,644
905,0,0.0,0.0,0.0,0.2,-6,-24,15,120,644
936,0,0.0,0.0,0.0,0.2,-6,-18,15,100,644
937,0,0.0,0.0,0.0,0.2,-6,-18,15,104,644
938,0,0.0,0.0,0.0,0.2,-6,-18,15,108,644
939,0,0.0,0.0,0.0,0.2,-6,-18,15,112,644
940,0,0.0,0.0,0.0,0.2,-6,-18,15,116,644
941,0,0.0,0.0,0.0,0.2,-6,-18,15,120,644
972,0,0.0,0.0,0.0,0.2,-6,-12,15,100,644
973,0,0.0,0.0,0.0,0.2,-6,-12,15,104,644
974,0,0.0,0.0,0.0,0.2,-6,-12,15,108,644
975,0,0.0,0.0,0.0,0.2,-6,-12,15,112,644
976,0,0.0,0.0,0.0,0.2,-6,-12,15,116,644
977,0,0.0,0.0,0.0,0.2,-6,-12,15,120,644
1008,0,0.0,0.0,0.0,0.2,-6,-6,15,100,644
1009,0,0.0,0.0,0.0,0.2,-6,-6,15,104,644
1010,0,0.0,0.0,0.0,0.2,-6,-6,15,108,644
1011,0,0.0,0.0,0.0,0.2,-6,-6,15,112,644
1012,0,0.0,0.0,0.0,0.2,-6,-6,15,116,644
1013,0,0.0,0.0,0.0,0.2,-6,-6,15,120,644
1044,0,0.0,0.0,0.0,0.2,-6,0,15,100,644
1045,0,0.0,0.0,0.0,0.2,-6,0,15,104,644
1046,0,0.0,0.0,0.0,0.2,-6,0,15,108,644
1047,0,0.0,0.0,0.0,0.2,-6,0,15,112,644
1048,0,0.0,0.0,0.0,0.2,-6,0,15,116,644
1049,0,0.0,0.0,0.0,0.2,-6,0,15,120,644
1080,0,0.0,0.0,0.0,0.2,0,-30,15,100,644
1081,0,0.0,0.0,0.0,0.2,0,-30,15,104,644
1082,0,0.0,0.0,0.0,0.2,0,-30,15,108,644
1083,0,0.0,0.0,0.0,0.2,0,-30,15,112,644
1084,0,0.0,0.0,0.0,0.2,0,-30,15,116,644
1085,0,0.0,0.0,0.0,0.2,0,-30,15,120,644
1116,0,0.0,0.0,0.0,0.2,0,-24,15,100,644
1117,0,0.0,0.0,0.0,0.2,0,-24,15,104,644
1118,0,0.0,0.0,0.0,0.2,0,-24,15,108,644
1119,0,0.0,0.0,0.0,0.2,0,-24,15,112,644
1120,0,0.0,0.0,0.0,0.2,0,-24,15,116,644
1121,0,0.0,0.0,0.0,0.2,0,-24,15,120,644
1152,0,0.0,0.0,0.0,0.2,0,-18,15,100,644
1153,0,0.0,0.0,0.0,0.2,0,-18,15,104,644
1154,0,0.0,0.0,0.0,0.2,0,-18,15,108,644
1155,0,0.0,0.0,0.0,0.2,0,-18,15,112,644
1156,0,0.0,0.0,0.0,0.2,0,-18,15,116,644
1157,0,0.0,0.0,0.0,0.2,0,-18,15,120,644
1188,0,0.0,0.0,0.0,0.2,0,-12,15,100,644
1189,0,0.0,0.0,0.0,0.2,0,-12,15,104,644
1190,0,0.0,0.0,0.0,0.2,0,-12,15,108,644
1191,0,0.0,0.0,0.0,0.2,0,-12,15,112,644
1192,0,0.0,0.0,0.0,0.2,0,-12,15,116,644
1193,0,0.0,0.0,0.0,0.2,0,-12,15,120,644
1224,0,0.0,0.0,0.0,0.2,0,-6,15,100,644
1225,0,0.0,0.0,0.0,0.2,0,-6,15,104,644
1226,0,0.0,0.0,0.0,0.2,0,-6,15,108,644
1227,0,0.0,0.0,0.0,0.2,0,-6,15,112,644
1228,0,0.0,0.0,0.0,0.2,0,-6,15,116,644
1229,0,0.0,0.0,0.0,0.2,0,-6,15,120,644
1260,0,0.0,0.0,0.0,0.2,0,0,15,100,644
1261,0,0.0,0.0,0.0,0.2,0,0,15,104,644
1262,0,0.0,0.0,0.0,0.2,0,0,15,108,644
1263,0,0.0,0.0,0.0,0.2,0,0,15,112,644
1264,0,0.0,0.0,0.0,0.2,0,0,15,116,644
1265,0,0.0,0.0,0.0,0.2,0,0,15,120,644
1296,0,0.0,0.0,0.0,0.4,-30,-30,15,100,644
1297,0,0.0,0.0,0.0,0.4,-30,-30,15,104,644
1298,0,0.0,0.0,0.0,0.4,-30,-30,15,108,644
1299,0,0.0,0.0,0.0,0.4,-30,-30,15,112,644
1300,0,0.0,0.0,0.0,0.4,-30,-30,15,116,644
1301,0,0.0,0.0,0.0,0.4,-30,-30,15,120,644
1332,0,0.0,0.0,0.0,0.4,-30,-24,15,100,644
1333,0,0.0,0.0,0.0,0.4,-30,-24,15,104,644
1334,0,0.0,0.0,0.0,0.4,-30,-24,15,108,644
1335,0,0.0,0.0,0.0,0.4,-30,-24,15,112,644
1336,0,0.0,0.0,0.0,0.4,-30,-24,15,116,644
1337,0,0.0,0.0,0.0,0.4,-30,-24,15,120,644
1368,0,0.0,0.0,0.0,0.4,-30,-18,15,100,644
1369,0,0.0,0.0,0.0,0.4,-30,-18,15,104,644
1370,0,0.0,0.0,0.0,0.4,-30,-18,15,108,644
1371,0,0.0,0.0,0.0,0.4,-30,-18,15,112,644
1372,0,0.0,0.0,0.0,0.4,-30,-18,15,116,644
1373,0,0.0,0.0,0.0,0.4,-30,-18,15,120,644
1404,0,0.0,0.0,0.0,0.4,-30,-12,15,100,644
1405,0,0.0,0.0,0.0,0.4,-30,-12,15,104,644
1406,0,0.0,0.0,0.0,0.4,-30,-12,15,108,644
1407,0,0.0,0.0,0.0,0.4,-30,-12,15,112,644
1408,0,0.0,0.0,0.0,0.4,-30,-12,15,116,644
1409,0,0.0,0.0,0.0,0.4,-30,-12,15,120,644
1440,0,0.0,0.0,0.0,0.4,-30,-6,15,100,644
1441,0,0.0,0.0,0.0,0.4,-30,-6,15,104,644
1442,0,0.0,0.0,0.0,0.4,-30,-6,15,108,644
1443,0,0.0,0.0,0.0,0.4,-30,-6,15,112,644
1444,0,0.0,0.0,0.0,0.4,-30,-6,15,116,644
1445,0,0.0,0.0,0.0,0.4,-30,-6,15,120,644
1476,0,0.0,0.0,0.0,0.4,-30,0,15,100,644
1477,0,0.0,0.0,0.0,0.4,-30,0,15,104,644
1478,0,0.0,0.0,0.0,0.4,-30,0,15,108,644
1479,0,0.0,0.0,0.0,0.4,-30,0,15,112,644
1480,0,0.0,0.0,0.0,0.4,-30,0,15,116,644
1481,0,0.0,0.0,0.0,0.4,-30,0,15,120,644
1512,0,0.0,0.0,0.0,0.4,-24,-30,15,100,644
1513,0,0.0,0.0,0.0,0.4,-24,-30,15,104,644
1514,0,0.0,0.0,0.0,0.4,-24,-30,15,108,644
1515,0,0.0,0.0,0.0,0.4,-24,-30,15,112,644
1516,0,0.0,0.0,0.0,0.4,-24,-30,15,116,644
1517,0,0.0,0.0,0.0,0.4,-24,-30,15,120,644
1548,0,0.0,0.0,0.0,0.4,-24,-24,15,100,644
1549,0,0.0,0.0,0.0,0.4,-24,-24,15,104,644
1550,0,0.0,0.0,0.0,0.4,-24,-24,15,108,644
1551,0,0.0,0.0,0.0,0.4,-24,-24,15,112,644
1552,0,0.0,0.0,0.0,0.4,-24,-24,15,116,644
1553,0,0.0,0.0,0.0,0.4,-24,-24,15,120,644
1584,0,0.0,0.0,0.0,0.4,-24,-18,15,100,644
1585,0,0.0,0.0,0.0,0.4,-24,-18,15,104,644
1586,0,0.0,0.0,0.0,0.4,-24,-18,15,108,644
1587,0,0.0,0.0,0.0,0.4,-24,-18,15,112,644
1588,0,0.0,0.0,0.0,0.4,-24,-18,15,116,644
1589,0,0.0,0.0,0.0,0.4,-24,-18,15,120,644
1620,0,0.0,0.0,0.0,0.4,-24,-12,15,100,644
1621,0,0.0,0.0,0.0,0.4,-24,-12,15,104,644
1622,0,0.0,0.0,0.0,0.4,-24,-12,15,108,644
1623,0,0.0,0.0,0.0,0.4,-24,-12,15,112,644
1624,0,0.0,0.0,0.0,0.4,-24,-12,15,116,644
1625,0,0.0,0.0,0.0,0.4,-24,-12,15,120,644
1656,0,0.0,0.0,0.0,0.4,-24,-6,15,100,644
1657,0,0.0,0.0,0.0,0.4,-24,-6,15,104,644
1658,0,0.0,0.0,0.0,0.4,-24,-6,15,108,644
1659,0,0.0,0.0,0.0,0.4,-24,-6,15,112,644
1660,0,0.0,0.0,0.0,0.4,-24,-6,15,116,644
1661,0,0.0,0.0,0.0,0.4,-24,-6,15,120,644
1692,0,0.0,0.0,0.0,0.4,-24,0,15,100,644
1693,0,0.0,0.0,0.0,0.4,-24,0,15,104,644
1694,0,0.0,0.0,0.0,0.4,-24,0,15,108,644
1695,0,0.0,0.0,0.0,0.4,-24,0,15,112,644
1696,0,0.0,0.0,0.0,0.4,-24,0,15,116,644
1697,0,0.0,0.0,0.0,0.4,-24,0,15,120,644
1728,0,0.0,0.0,0.0,0.4,-18,-30,15,100,644
1729,0,0.0,0.0,0.0,0.4,-18,-30,15,104,644
1730,0,0.0,0.0,0.0,0.4,-18,-30,15,108,644
1731,0,0.0,0.0,0.0,0.4,-18,-30,15,112,644
1732,0,0.0,0.0,0.0,0.4,-18,-30,15,116,644
1733,0,0.0,0.0,0.0,0.4,-18,-30,15,120,644
1764,0,0.0,0.0,0.0,0.4,-18,-24,15,100,644
1765,0,0.0,0.0,0.0,0.4,-18,-24,15,104,644
1766,0,0.0,0.0,0.0,0.4,-18,-24,15,108,644
1767,0,0.0,0.0,0.0,0.4,-18,-24,15,112,644
1768,0,0.0,0.0,0.0,0.4,-18,-24,15,116,644
1769,0,0.0,0.0,0.0,0.4,-18,-24,15,120,644
1800,0,0.0,0.0,0.0,0.4,-18,-18,15,100,644
1801,0,0.0,0.0,0.0,0.4,-18,-18,15,104,644
1802,0,0.0,0.0,0.0,0.4,-18,-18,15,108,644
1803,0,0.0,0.0,0.0,0.4,-18,-18,15,112,644
1804,0,0.0,0.0,0.0,0.4,-18,-18,15,116,644
1805,0,0.0,0.0,0.0,0.4,-18,-18,15,120,644
1836,0,0.0,0.0,0.0,0.4,-18,-12,15,100,644
1837,0,0.0,0.0,0.0,0.4,-18,-12,15,104,644
1838,0,0.0,0.0,0.0,0.4,-18,-12,15,108,644
1839,0,0.0,0.0,0.0,0.4,-18,-12,15,112,644
1840,0,0.0,0.0,0.0,0.4,-18,-12,15,116,644
1841,0,0.0,0.0,0.0,0.4,-18,-12,15,120,644
1872,0,0.0,0.0,0.0,0.4,-18,-6,15,100,644
1873,0,0.0,0.0,0.0,0.4,-18,-6,15,104,644
1874,0,0.0,0.0,0.0,0.4,-18,-6,15,108,644
1875,0,0.0,0.0,0.0,0.4,-18,-6,15,112,644
1876,0,0.0,0.0,0.0,0.4,-18,-6,15,116,644
1877,0,0.0,0.0,0.0,0.4,-18,-6,15,120,644
1908,0,0.0,0.0,0.0,0.4,-18,0,15,100,644
1909,0,0.0,0.0,0.0,0.4,-18,0,15,104,644
1910,0,0.0,0.0,0.0,0.4,-18,0,15,108,644
1911,0,0.0,0.0,0.0,0.4,-18,0,15,112,644
1912,0,0.0,0.0,0.0,0.4,-18,0,15,116,644
1913,0,0.0,0.0,0.0,0.4,-18,0,15,120,644
1944,0,0.0,0.0,0.0,0.4,-12,-30,15,100,644
1945,0,0.0,0.0,0.0,0.4,-12,-30,15,104,644
1946,0,0.0,0.0,0.0,0.4,-12,-30,15,108,644
1947,0,0.0,0.0,0.0,0.4,-12,-30,15,112,644
1948,0,0.0,0.0,0.0,0.4,-12,-30,15,116,644
1949,0,0.0,0.0,0.0,0.4,-12,-30,15,120,644
1980,0,0.0,0.0,0.0,0.4,-12,-24,15,100,644
1981,0,0.0,0.0,0.0,0.4,-12,-24,15,104,644
1982,0,0.0,0.0,0.0,0.4,-12,-24,15,108,644
1983,0,0.0,0.0,0.0,0.4,-12,-24,15,112,644
1984,0,0.0,0.0,0.0,0.4,-12,-24,15,116,644
1985,0,0.0,0.0,0.0,0.4,-12,-24,15,120,644
2016,0,0.0,0.0,0.0,0.4,-12,-18,15,100,644
2017,0,0.0,0.0,0.0,0.4,-12,-18,15,104,644
2018,0,0.0,0.0,0.0,0.4,-12,-18,15,108,644
