,0,AnzahlLinks,friction,innumcluster,middleCharge,otherCharge,overlaps,position,stretches
0,,644.0,0.1,0.0,-30.0,-30.0,1.0,0.0,0.0
5,,644.0,0.1,0.0,-30.0,0.0,1.0,0.0,0.0
17,,644.0,0.1,0.0,-18.0,0.0,1.0,0.0,0.0
21,,644.0,0.1,0.0,-12.0,-12.0,1.0,0.0,0.0
23,,644.0,0.1,0.0,-12.0,0.0,1.0,0.0,0.0
31,,644.0,0.1,0.0,0.0,-24.0,1.0,0.0,0.0
33,,644.0,0.1,0.0,0.0,-12.0,1.0,0.0,0.0
34,,644.0,0.1,0.0,0.0,-6.0,1.0,0.0,0.0
65,,644.0,0.3,0.0,-6.0,0.0,1.0,0.0,0.0
66,,644.0,0.3,0.0,0.0,-30.0,1.0,0.0,0.0
111,,644.0,0.7,0.0,-30.0,-12.0,1.0,0.0,0.0
136,,644.0,0.7,0.0,-6.0,-6.0,1.0,0.0,0.0
137,,644.0,0.7,0.0,-6.0,0.0,1.0,0.0,0.0
140,,644.0,0.7,0.0,0.0,-18.0,1.0,0.0,0.0
148,,644.0,0.9,0.0,-30.0,-6.0,1.0,0.0,0.0
158,,644.0,0.9,0.0,-18.0,-18.0,1.0,0.0,0.0
167,,644.0,0.9,0.0,-12.0,0.0,1.0,0.0,0.0
174,,644.0,0.9,0.0,0.0,-30.0,1.0,0.0,0.0
175,,644.0,0.9,0.0,0.0,-24.0,1.0,0.0,0.0
176,,644.0,0.9,0.0,0.0,-18.0,1.0,0.0,0.0
1,,644.0,0.1,1.0,-30.0,-24.0,0.0,0.0,0.0
2,,644.0,0.1,1.0,-30.0,-18.0,0.0,0.0,0.0
3,,644.0,0.1,1.0,-30.0,-12.0,0.0,0.0,0.0
4,,644.0,0.1,1.0,-30.0,-6.0,0.0,0.0,0.0
6,,644.0,0.1,1.0,-24.0,-30.0,0.0,0.0,0.0
7,,644.0,0.1,1.0,-24.0,-24.0,0.0,0.0,0.0
8,,644.0,0.1,1.0,-24.0,-18.0,0.0,0.0,0.0
9,,644.0,0.1,1.0,-24.0,-12.0,0.0,0.0,0.0
10,,644.0,0.1,1.0,-24.0,-6.0,0.0,0.0,0.0
11,,644.0,0.1,1.0,-24.0,0.0,0.0,0.0,0.0
12,,644.0,0.1,1.0,-18.0,-30.0,0.0,0.0,0.0
13,,644.0,0.1,1.0,-18.0,-24.0,0.0,0.0,0.0
15,,644.0,0.1,1.0,-18.0,-12.0,0.0,0.0,0.0
16,,644.0,0.1,1.0,-18.0,-6.0,0.0,0.0,0.0
18,,644.0,0.1,1.0,-12.0,-30.0,0.0,0.0,0.0
19,,644.0,0.1,1.0,-12.0,-24.0,0.0,0.0,0.0
20,,644.0,0.1,1.0,-12.0,-18.0,0.0,0.0,0.0
22,,644.0,0.1,1.0,-12.0,-6.0,0.0,0.0,0.0
24,,644.0,0.1,1.0,-6.0,-30.0,0.0,0.0,0.0
25,,644.0,0.1,1.0,-6.0,-24.0,0.0,0.0,0.0
26,,644.0,0.1,1.0,-6.0,-18.0,0.0,0.0,0.0
27,,644.0,0.1,1.0,-6.0,-12.0,0.0,0.0,0.0
28,,644.0,0.1,1.0,-6.0,-6.0,0.0,0.0,0.0
29,,644.0,0.1,1.0,-6.0,0.0,0.0,0.0,0.0
30,,644.0,0.1,1.0,0.0,-30.0,0.0,0.0,0.0
32,,644.0,0.1,1.0,0.0,-18.0,0.0,0.0,0.0
35,,644.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
36,,644.0,0.3,1.0,-30.0,-30.0,0.0,0.0,0.0
37,,644.0,0.3,1.0,-30.0,-24.0,0.0,0.0,0.0
38,,644.0,0.3,1.0,-30.0,-18.0,0.0,0.0,0.0
39,,644.0,0.3,1.0,-30.0,-12.0,0.0,0.0,0.0
41,,644.0,0.3,1.0,-30.0,0.0,0.0,0.0,0.0
42,,644.0,0.3,1.0,-24.0,-30.0,0.0,0.0,0.0
43,,644.0,0.3,1.0,-24.0,-24.0,0.0,0.0,0.0
44,,644.0,0.3,1.0,-24.0,-18.0,0.0,0.0,0.0
45,,644.0,0.3,1.0,-24.0,-12.0,0.0,0.0,0.0
46,,644.0,0.3,1.0,-24.0,-6.0,0.0,0.0,0.0
47,,644.0,0.3,1.0,-24.0,0.0,0.0,0.0,0.0
48,,644.0,0.3,1.0,-18.0,-30.0,0.0,0.0,0.0
49,,644.0,0.3,1.0,-18.0,-24.0,0.0,0.0,0.0
50,,644.0,0.3,1.0,-18.0,-18.0,0.0,0.0,0.0
51,,644.0,0.3,1.0,-18.0,-12.0,0.0,0.0,0.0
52,,644.0,0.3,1.0,-18.0,-6.0,0.0,0.0,0.0
53,,644.0,0.3,1.0,-18.0,0.0,0.0,0.0,0.0
54,,644.0,0.3,1.0,-12.0,-30.0,0.0,0.0,0.0
55,,644.0,0.3,1.0,-12.0,-24.0,0.0,0.0,0.0
56,,644.0,0.3,1.0,-12.0,-18.0,0.0,0.0,0.0
57,,644.0,0.3,1.0,-12.0,-12.0,0.0,0.0,0.0
58,,644.0,0.3,1.0,-12.0,-6.0,0.0,0.0,0.0
59,,644.0,0.3,1.0,-12.0,0.0,0.0,0.0,0.0
60,,644.0,0.3,1.0,-6.0,-30.0,0.0,0.0,0.0
61,,644.0,0.3,1.0,-6.0,-24.0,0.0,0.0,0.0
62,,644.0,0.3,1.0,-6.0,-18.0,0.0,0.0,0.0
63,,644.0,0.3,1.0,-6.0,-12.0,0.0,0.0,0.0
64,,644.0,0.3,1.0,-6.0,-6.0,0.0,0.0,0.0
67,,644.0,0.3,1.0,0.0,-24.0,0.0,0.0,0.0
68,,644.0,0.3,1.0,0.0,-18.0,0.0,0.0,0.0
69,,644.0,0.3,1.0,0.0,-12.0,0.0,0.0,0.0
70,,644.0,0.3,1.0,0.0,-6.0,0.0,0.0,0.0
71,,644.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0
72,,644.0,0.5,1.0,-30.0,-30.0,0.0,0.0,0.0
73,,644.0,0.5,1.0,-30.0,-24.0,0.0,0.0,0.0
74,,644.0,0.5,1.0,-30.0,-18.0,0.0,0.0,0.0
75,,644.0,0.5,1.0,-30.0,-12.0,0.0,0.0,0.0
76,,644.0,0.5,1.0,-30.0,-6.0,0.0,0.0,0.0
77,,644.0,0.5,1.0,-30.0,0.0,0.0,0.0,0.0
78,,644.0,0.5,1.0,-24.0,-30.0,0.0,0.0,0.0
79,,644.0,0.5,1.0,-24.0,-24.0,0.0,0.0,0.0
80,,644.0,0.5,1.0,-24.0,-18.0,0.0,0.0,0.0
81,,644.0,0.5,1.0,-24.0,-12.0,0.0,0.0,0.0
82,,644.0,0.5,1.0,-24.0,-6.0,0.0,0.0,0.0
83,,644.0,0.5,1.0,-24.0,0.0,0.0,0.0,0.0
84,,644.0,0.5,1.0,-18.0,-30.0,0.0,0.0,0.0
85,,644.0,0.5,1.0,-18.0,-24.0,0.0,0.0,0.0
86,,644.0,0.5,1.0,-18.0,-18.0,0.0,0.0,0.0
87,,644.0,0.5,1.0,-18.0,-12.0,0.0,0.0,0.0
88,,644.0,0.5,1.0,-18.0,-6.0,0.0,0.0,0.0
89,,644.0,0.5,1.0,-18.0,0.0,0.0,0.0,0.0
90,,644.0,0.5,1.0,-12.0,-30.0,0.0,0.0,0.0
91,,644.0,0.5,1.0,-12.0,-24.0,0.0,0.0,0.0
92,,644.0,0.5,1.0,-12.0,-18.0,0.0,0.0,0.0
93,,644.0,0.5,1.0,-12.0,-12.0,0.0,0.0,0.0
94,,644.0,0.5,1.0,-12.0,-6.0,0.0,0.0,0.0
95,,644.0,0.5,1.0,-12.0,0.0,0.0,0.0,0.0
96,,644.0,0.5,1.0,-6.0,-30.0,0.0,0.0,0.0
97,,644.0,0.5,1.0,-6.0,-24.0,0.0,0.0,0.0
98,,644.0,0.5,1.0,-6.0,-18.0,0.0,0.0,0.0
99,,644.0,0.5,1.0,-6.0,-12.0,0.0,0.0,0.0
100,,644.0,0.5,1.0,-6.0,-6.0,0.0,0.0,0.0
101,,644.0,0.5,1.0,-6.0,0.0,0.0,0.0,0.0
102,,644.0,0.5,1.0,0.0,-30.0,0.0,0.0,0.0
103,,644.0,0.5,1.0,0.0,-24.0,0.0,0.0,0.0
104,,644.0,0.5,1.0,0.0,-18.0,0.0,0.0,0.0
105,,644.0,0.5,1.0,0.0,-12.0,0.0,0.0,0.0
106,,644.0,0.5,1.0,0.0,-6.0,0.0,0.0,0.0
107,,644.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
108,,644.0,0.7,1.0,-30.0,-30.0,0.0,0.0,0.0
109,,644.0,0.7,1.0,-30.0,-24.0,0.0,0.0,0.0
110,,644.0,0.7,1.0,-30.0,-18.0,0.0,0.0,0.0
112,,644.0,0.7,1.0,-30.0,-6.0,0.0,0.0,0.0
113,,644.0,0.7,1.0,-30.0,0.0,0.0,0.0,0.0
114,,644.0,0.7,1.0,-24.0,-30.0,0.0,0.0,0.0
115,,644.0,0.7,1.0,-24.0,-24.0,0.0,0.0,0.0
116,,644.0,0.7,1.0,-24.0,-18.0,0.0,0.0,0.0
117,,644.0,0.7,1.0,-24.0,-12.0,0.0,0.0,0.0
118,,644.0,0.7,1.0,-24.0,-6.0,0.0,0.0,0.0
119,,644.0,0.7,1.0,-24.0,0.0,0.0,0.0,0.0
120,,644.0,0.7,1.0,-18.0,-30.0,0.0,0.0,0.0
121,,644.0,0.7,1.0,-18.0,-24.0,0.0,0.0,0.0
122,,644.0,0.7,1.0,-18.0,-18.0,0.0,0.0,0.0
123,,644.0,0.7,1.0,-18.0,-12.0,0.0,0.0,0.0
124,,644.0,0.7,1.0,-18.0,-6.0,0.0,0.0,0.0
126,,644.0,0.7,1.0,-12.0,-30.0,0.0,0.0,0.0
127,,644.0,0.7,1.0,-12.0,-24.0,0.0,0.0,0.0
128,,644.0,0.7,1.0,-12.0,-18.0,0.0,0.0,0.0
129,,644.0,0.7,1.0,-12.0,-12.0,0.0,0.0,0.0
130,,644.0,0.7,1.0,-12.0,-6.0,0.0,0.0,0.0
132,,644.0,0.7,1.0,-6.0,-30.0,0.0,0.0,0.0
133,,644.0,0.7,1.0,-6.0,-24.0,0.0,0.0,0.0
134,,644.0,0.7,1.0,-6.0,-18.0,0.0,0.0,0.0
135,,644.0,0.7,1.0,-6.0,-12.0,0.0,0.0,0.0
138,,644.0,0.7,1.0,0.0,-30.0,0.0,0.0,0.0
139,,644.0,0.7,1.0,0.0,-24.0,0.0,0.0,0.0
141,,644.0,0.7,1.0,0.0,-12.0,0.0,0.0,0.0
142,,644.0,0.7,1.0,0.0,-6.0,0.0,0.0,0.0
143,,644.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0
153,,644.0,0.9,1.0,-24.0,-12.0,0.0,0.0,0.0
154,,644.0,0.9,1.0,-24.0,-6.0,0.0,0.0,0.0
159,,644.0,0.9,1.0,-18.0,-12.0,0.0,0.0,0.0
160,,644.0,0.9,1.0,-18.0,-6.0,0.0,0.0,0.0
165,,644.0,0.9,1.0,-12.0,-12.0,0.0,0.0,0.0
166,,644.0,0.9,1.0,-12.0,-6.0,0.0,0.0,0.0
173,,644.0,0.9,1.0,-6.0,0.0,0.0,0.0,0.0
177,,644.0,0.9,1.0,0.0,-12.0,0.0,0.0,0.0
179,,644.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0
125,,644.0,0.7,2.0,-18.0,0.0,2.0,0.0,0.0
131,,644.0,0.7,2.0,-12.0,0.0,2.0,0.0,0.0
149,,644.0,0.9,2.0,-30.0,0.0,2.0,0.0,0.0
155,,644.0,0.9,2.0,-24.0,0.0,2.0,0.0,0.0
161,,644.0,0.9,2.0,-18.0,0.0,2.0,0.0,0.0
178,,644.0,0.9,2.0,0.0,-6.0,2.0,0.0,0.0
144,,644.0,0.9,3.0,-30.0,-30.0,0.0,1.0,0.0
145,,644.0,0.9,3.0,-30.0,-24.0,0.0,1.0,0.0
146,,644.0,0.9,3.0,-30.0,-18.0,0.0,1.0,0.0
147,,644.0,0.9,3.0,-30.0,-12.0,0.0,1.0,0.0
150,,644.0,0.9,3.0,-24.0,-30.0,0.0,1.0,0.0
151,,644.0,0.9,3.0,-24.0,-24.0,0.0,1.0,0.0
152,,644.0,0.9,3.0,-24.0,-18.0,0.0,1.0,0.0
156,,644.0,0.9,3.0,-18.0,-30.0,0.0,1.0,0.0
157,,644.0,0.9,3.0,-18.0,-24.0,0.0,1.0,0.0
162,,644.0,0.9,3.0,-12.0,-30.0,0.0,1.0,0.0
163,,644.0,0.9,3.0,-12.0,-24.0,0.0,1.0,0.0
164,,644.0,0.9,3.0,-12.0,-18.0,0.0,1.0,0.0
168,,644.0,0.9,3.0,-6.0,-30.0,0.0,1.0,0.0
169,,644.0,0.9,3.0,-6.0,-24.0,0.0,1.0,0.0
170,,644.0,0.9,3.0,-6.0,-18.0,0.0,1.0,0.0
171,,644.0,0.9,3.0,-6.0,-12.0,0.0,1.0,0.0
172,,644.0,0.9,3.0,-6.0,-6.0,0.0,1.0,0.0
0,"    innumcluster  overlaps  stretches  position  friction  middleCharge  \
14            -1       3.0        0.0       0.0       0.1           -18   
40            -1      13.0        0.0       0.0       0.3           -30   

    otherCharge  AnzahlLinks  
14          -18          644  
40           -6          644  ",,,,,,,,
